금액,이용횟수
2086264,27
1967300,33
3576052,40
7219223,48
6299555,72
12464972,96
4748404,65
5003451,57
1626629,62
7867570,63
6253514,57
10705156,99
2725357,74
2608636,57
3270636,59
1886443,39
1329513,31
559590,13
741810,14
195890,3
145120,8
0,0
0,0
223560,6
521960,9
1436025,16
1137370,17
2564099,46
2433894,56
3588443,77
3538685,75
5046510,77
15305853,92
5165985,91
6127753,87
5384863,83
3199718,82
2925693,59
3828519,49
1799594,43
883929,18
929521,21
720238,12
421630,4
298680,8
196560,4
290216,6
235430,5
317700,14
618720,16
1152378,27
1208648,41
3176027,60
2665772,55
2631980,84
2608274,71
3024617,68
7162235,74
4539572,90
5634530,85
4757969,64
2892102,57
1934318,53
2853464,69
2512916,53
2051052,34
1147622,20
250250,3
105830,2
135200,4
580800,4
164038,5
595470,18
1531057,31
2206429,43
4497595,64
2969075,75
3143076,84
2469503,78
2395430,60
2503593,52
8353835,80
2111922,52
2633996,79
3044233,74
3181444,59
8936212,72
2793320,68
2555312,57
2134201,21
931547,14
77850,2
251000,2
0,0
55540,3
213960,5
782015,20
2994840,31
1114175,28
3198517,55
12842142,63
2585500,66
3344330,56
4128692,56
2064748,61
5269059,59
1913302,48
2678894,64
2140868,70
3190034,59
1250600,44
6261355,55
2816479,33
1086515,19
591004,8
368650,9
109990,3
79725,4
113580,2
1010710,8
1039300,22
1271183,26
1256451,36
2197817,44
2489211,61
7981548,78
1733169,61
1485578,45
2822135,47
2763493,56
2650788,54
2601014,50
2581913,63
2479540,48
1229888,43
2825037,36
1990856,42
190690,9
400790,9
200220,7
127820,2
27000,1
165496,4
267000,11
310564,15
418020,19
2264513,28
2471306,51
1757203,53
1807650,88
4179495,66
1954724,66
2282848,56
2235240,65
2327820,54
1868580,64
1856709,59
2681471,59
1666963,51
1340819,37
1444255,31
1024133,21
283090,6
75680,4
125280,3
80381,2
78470,2
237340,5
406330,20
734447,32
1121773,27
1824955,41
26298120,70
5117443,84
8493125,69
2324298,58
5741335,70
2144138,56
5216891,46
6481940,80
4324789,86
3458899,73
1414821,40
1890264,40
6876137,31
630641,17
110090,4
0,0
34650,3
114973,2
30510,2
149140,4
223169,10
415110,12
769902,21
2170892,44
2905611,57
2441251,71
7153907,73
3093743,67
4663288,80
6515975,86
2466928,59
12255510,66
2256356,74
4610467,35
1804669,46
1486030,44
1086140,23
576033,17
2133050,9
102800,4
30590,2
151400,3
122780,5
476030,6
283399,11
1198329,17
810957,28
2583888,35
2862546,59
2296633,53
2812018,61
8717075,56
7995108,85
4670846,72
10079419,63
2987024,62
5946298,79
3584177,50
1642466,43
2184783,42
3068685,48
1373467,27
335580,11
234465,6
281876,6
136730,1
448332,4
28400,3
656650,20
1065079,26
2510600,34
1644209,38
2911064,56
7353104,74
2122350,68
1709263,48
3587412,55
